Id,Family,Name,ProductCode,product_series_name__c,SBCF_Product_Family_Code__c,Sub.Product
01tf2000008C5qcAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 300-400 (HW service partner),BPiSSD400a,null,BNG,CGF Other
01tf2000008C5qdAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 600 (HW service partner),BPiSSD600a,null,BNG,CGF Other
01tf2000008C5qeAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 800-900 (HW service partner),BPiSSD900a,null,BNG,CGF Other
01tf2000008C7TyAAK,Cloudgen Firewall,Barracuda Magnetic Sheet,BPMAGNET-01,null,BPM,CGF Other
01tf2000008C7jcAAC,Cloudgen Firewall,Barracuda Maintenance Kit for CloudGen Firewall models F1000,BPNGIKITF1000,null,BPN,CGF Other
01tf2000008C6QvAAK,Cloudgen Firewall,Barracuda Maintenance Kit for CloudGen Firewall models F1000,BPNGKITF1000,null,BPN,CGF Other
01tf2000008C5qfAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 1000 (HW service partner),BPSSD1000a,null,BNG,CGF Other
01tf2000008C5qgAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 300-400 (HW service partner),BPSSD400a,null,BNG,CGF Other
01tf2000008C5qhAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 600 (HW service partner),BPSSD600a,null,BNG,CGF Other
01tf2000008C5qiAAC,Cloudgen Firewall,Barracuda Solide State Drive for models 800-900 (HW service partner),BPSSD900a,null,BNG,CGF Other
01t5x00000KDRtGAAX,Cloudgen Firewall,Barracuda USB Modem M40,CGF-M40A-BS-MSP,,BNG,CGF Other
01t5x00000KDRybAAH,Cloudgen Firewall,Int'l Barracuda USB Modem M40,CGF-M40A-BS-MSPI,,BNG,CGF Other
01t5x00000KDRtHAAX,Cloudgen Firewall,Barracuda USB Modem M40 Instant Replacement,CGF-M40-IR-MSP,,BNG,CGF Other
01t5x00000KDRxbAAH,Cloudgen Firewall,Int'l Barracuda USB Modem M40 Instant Replacement,CGF-M40-IR-MSPI,,BNG,CGF Other
